File                                    ,Title, Units, Frequency, Seasonal Adjustment, Last Updated,Category
CAPUTLN2121S,Capacity Utilization: Coal mining, % of Capacity, M, SA, 2018-12-14,out
CAPUTLG3342S,Capacity Utilization: Communications equipment, % of Capacity, M, SA, 2018-12-14,out
CAPUTLG3341S,Capacity Utilization: Computer and peripheral equipment, % of Capacity, M, SA, 2018-12-14,out
CAPUTLHITEK2S,"Capacity Utilization: Computers, communications equipment, and semiconductors", % of Capacity, M, SA, 2018-12-14,out
CAPUTLB5610CS,Capacity Utilization: Crude processing, % of Capacity, M, SA, 2018-12-14,out
CAPUTLGMFDS,Capacity Utilization: Durable manufacturing, % of Capacity, M, SA, 2018-12-14,out
CAPUTLG3364T9S,Capacity Utilization: Durable Manufacturing: Aerospace and miscellaneous transportation equipment, % of Capacity, M, SA, 2018-12-14,out
CAPUTLG33611S,Capacity Utilization: Durable Manufacturing: Automobile and light duty motor vehicle, % of Capacity, M, SA, 2018-12-14,out
CAPUTLG334S,Capacity Utilization: Durable Manufacturing: Computer and electronic product, % of Capacity, M, SA, 2018-12-14,out
CAPUTLG335S,"Capacity Utilization: Durable Manufacturing: Electrical equipment, appliance, and component", % of Capacity, M, SA, 2018-12-14,out
CAPUTLG332S,Capacity Utilization: Durable Manufacturing: Fabricated metal product, % of Capacity, M, SA, 2018-12-14,out
CAPUTLG337S,Capacity Utilization: Durable Manufacturing: Furniture and related product, % of Capacity, M, SA, 2018-12-14,out
CAPUTLG3311A2S,Capacity Utilization: Durable Manufacturing: Iron and steel products, % of Capacity, M, SA, 2018-12-14,out
CAPUTLG333S,Capacity Utilization: Durable Manufacturing: Machinery, % of Capacity, M, SA, 2018-12-14,out
CAPUTLG339S,Capacity Utilization: Durable Manufacturing: Miscellaneous, % of Capacity, M, SA, 2018-12-14,out
CAPUTLG3361T3S,Capacity Utilization: Durable Manufacturing: Motor vehicles and parts, % of Capacity, M, SA, 2018-12-14,out
CAPUTLG327S,Capacity Utilization: Durable Manufacturing: Nonmetallic mineral product, % of Capacity, M, SA, 2018-12-14,out
CAPUTLG331S,Capacity Utilization: Durable Manufacturing: Primary metal, % of Capacity, M, SA, 2018-12-14,out
CAPUTLG336S,Capacity Utilization: Durable Manufacturing: Transportation equipment, % of Capacity, M, SA, 2018-12-14,out
CAPUTLG321S,Capacity Utilization: Durable Manufacturing: Wood product, % of Capacity, M, SA, 2018-12-14,out
CAPUTLG2211A2S,Capacity Utilization: Electric and gas utilities, % of Capacity, M, SA, 2018-12-14,out
CAPUTLG2211S,"Capacity Utilization: Electric power generation, transmission, and distribution", % of Capacity, M, SA, 2018-12-14,out
CAPUTLB5640CS,Capacity Utilization: Finished processing, % of Capacity, M, SA, 2018-12-14,out
MCUMFN,Capacity Utilization: Manufacturing (NAICS), % of Capacity, M, SA, 2018-12-14,out
CUMFNS,Capacity Utilization: Manufacturing (SIC), % of Capacity, M, SA, 2018-12-14,out
CAPUTLX4HTK2S,"Capacity Utilization: Manufacturing excluding computers, communications equipment, and semiconductors", % of Capacity, M, SA, 2018-12-14,out
CAPUTLX4HTMVS,Capacity Utilization: Manufacturing excluding hi-tech and motor vehicles and parts, % of Capacity, M, SA, 2018-12-14,out
CAPUTLG2122S,Capacity Utilization: Metal ore mining, % of Capacity, M, SA, 2018-12-14,out
CAPUTLG21S,Capacity Utilization: Mining, % of Capacity, M, SA, 2018-12-14,out
CAPUTLG212S,Capacity Utilization: Mining (except oil and gas), % of Capacity, M, SA, 2018-12-14,out
CAPUTLG2212S,Capacity Utilization: Natural gas distribution, % of Capacity, M, SA, 2018-12-14,out
CAPUTLGMFNS,Capacity Utilization: Nondurable manufacturing, % of Capacity, M, SA, 2018-12-14,out
